Product URL,Product Name,Image URL,Discounted Price,Full Price,Description,Sizes,Rating,Review Count
https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=07,Palermo Classic Comfort Low Boot Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402693/07/sv01/fnd/IND/fmt/png/Palermo-Classic-Comfort-Low-Boot-Sneakers","₹5,599","₹6,999",,,,
https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=03,Badminton Smash Sprint Indoor Sports Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/109304/03/sv01/fnd/IND/fmt/png/Badminton-Smash-Sprint-Indoor-Sports-Shoes","₹2,599","₹4,999",,,,
https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=05,Palermo Classic Comfort Low Boot Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402693/05/sv01/fnd/IND/fmt/png/Palermo-Classic-Comfort-Low-Boot-Sneakers","₹5,599","₹6,999",,,,
https://in.puma.com/in/en/pd/slipstream-bball-sneakers/404692?swatch=02,Slipstream Bball Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/404692/02/sv01/fnd/IND/fmt/png/Slipstream-Bball-Sneakers","₹5,599","₹7,999",,,,
https://in.puma.com/in/en/pd/softride-pro-echo-consonance-womens-running-shoes/310913?swatch=03,Softride Pro Echo Consonance Women's Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/310913/03/sv01/fnd/IND/fmt/png/Softride-Pro-Echo-Consonance-Women's-Running-Shoes",N/A,"₹5,999",,,,
https://in.puma.com/in/en/pd/wave-womens-flip-flops/395845?swatch=04,Wave Women's Flip-Flops,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395845/04/sv01/fnd/IND/fmt/png/Wave-Women's-Flip-Flops","₹1,059","₹1,999",,,,
https://in.puma.com/in/en/pd/softride-premier-glideknit-walking-shoes/312706?swatch=05,Softride Premier GlideKnit Walking Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312706/05/sv01/fnd/IND/fmt/png/Softride-Premier-GlideKnit-Walking-Shoes",N/A,"₹5,499",,,,
https://in.puma.com/in/en/pd/electrify-nitro-4-womens-multi-surface-traction-running-shoes/313362?swatch=01,Electrify NITRO 4 Women's Multi-Surface Traction Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/313362/01/sv01/fnd/IND/fmt/png/Electrify-NITRO-4-Women's-Multi-Surface-Traction-Running-Shoes",N/A,"₹8,999",,,,
https://in.puma.com/in/en/pd/softride-premier-glideknit-walking-shoes/312706?swatch=04,Softride Premier GlideKnit Walking Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312706/04/sv01/fnd/IND/fmt/png/Softride-Premier-GlideKnit-Walking-Shoes",N/A,"₹5,499",,,,
https://in.puma.com/in/en/pd/punch-comfort-sneakers/396129?swatch=01,Punch Comfort Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/396129/01/sv01/fnd/IND/fmt/png/Punch-Comfort-Sneakers",N/A,"₹3,299",,,,
https://in.puma.com/in/en/pd/softridepro-leadpuff-womens-slides/311793?swatch=02,SoftridePro Leadpuff Women's Slides,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311793/02/sv01/fnd/IND/fmt/png/SoftridePro-Leadpuff-Women's-Slides",N/A,"₹3,499",,,,
https://in.puma.com/in/en/pd/galaxy-comfort-v4-flip-flops/388831?swatch=04,Galaxy Comfort V4 Flip-Flops,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/388831/04/sv01/fnd/IND/fmt/png/Galaxy-Comfort-V4-Flip-Flops",N/A,"₹2,299",,,,
https://in.puma.com/in/en/pd/electrify-nitro-4-womens-multi-surface-traction-running-shoes/313362?swatch=02,Electrify NITRO 4 Women's Multi-Surface Traction Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/313362/02/sv01/fnd/IND/fmt/png/Electrify-NITRO-4-Women's-Multi-Surface-Traction-Running-Shoes",N/A,"₹8,999",,,,
https://in.puma.com/in/en/pd/x--ray-airflex-womens-sneakers/399810?swatch=03,X- Ray Airflex Women's Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/399810/03/sv01/fnd/IND/fmt/png/X--Ray-Airflex-Women's-Sneakers","₹3,999","₹4,999",,,,
